id,name,phone,religion,cast,district,feedback,gender,age,status,remarks,followup,telecall,flag
,Mr. Manoj,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr. Travan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. Sabeer,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. Johny,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mrs. Greeshma,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mrs. Varsha Vijayan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,"Mr.Mohan, vandithadam",5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,M Anilkumar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr Krishnakumar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,"Mrs Anupama Nair, 9 D, KGM, ",5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,C/o Suresh M Pillai,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Ravi chandran,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr.Khanra,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mrs.Lakshmi Ammal,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr.Gladwin,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr.Mathews,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,M Anilkumar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
